"property_id","price"
"d56159653f5d2abc5ed5acd7",653967834.562576
"45550aa81c0151f1fd9fd8fe",726050099.247918
"735deef3382aa15930482f3e",602851924.237716
"0dd49fa8bb7be52b851c6dc9",850340733.290482
"7d3220a91e78f8bc2924d1cd",638141586.911201
"d3054072b2175deec2c1f8dc",484234232.919494
"b7574b06d593fca4eac59815",481724861.491912
"79e822115c5c1a4531366001",379364233.376279
"d3ed5316a463d38c1bd321d0",758579787.107573
"2f1880c9b8f7ac2715e1236d",914835161.428586
"dcca1c7f109175760ff531c6",454146935.767419
"dfc4f3facf91bbd93ee0fa4d",480294552.995353
"30e134a6cbe61d7954d0f56b",386007758.409426
"385fee7bd9ad7722d45dd034",390941723.185278
"87199c236bf22903d1aafdd0",400364573.475379
"19e19ad0cd6b5e84d8aa970e",395438377.401757
"907f968e78d748fde69dd44f",706813871.209215
"be094e5db0f784e3aa013aae",388634767.096167
"7ab96f83915bc84f8c03c1bd",405884412.798849
"07f4aa9b9ff5b0b05d31e6c0",886712319.981424
"e9be8cd37abed8ab510ba1f5",775268115.072969
"5f6ad58df27b562db077b5ce",682543762.590531
"ee96d947484aaace40f9b77f",762157641.563907
"15c4aef8401208054697b81e",930169140.33353
"22d6cb11333f2839b8112b89",892294091.725459
"288c09c33907dadbae495c11",1089739050.76979
"f71d2bca0c5fe2720a1544c4",499520674.655712
"451744cf3ce55a98db8a3562",490308690.139188
"fba9ae05a6a8a9e0c6268a9f",446956827.302395
"1338e58f7dcebf5a1ea59388",494554020.836927
"a817e8da0ada143ac87277ee",381210220.872841
"46d8bb3e9a0ca584d3c7a317",904611707.783339
"b2506aa9463aebf01e1e00ca",465519218.912561
"7ec025b9b6e6f33bf65af41b",453502062.729985
"2ff531e27672ecd2362eed55",649383769.225937
"9b3cf0d1b91b9c6a2a887647",478465864.840775
"7db5291ce4602d9b2b266872",396933836.719818
"65d5918e826c33bb950fc008",633551231.598137
"395c34e4b8f52cbdb0522459",689995573.105656
"855f4b67d2bd6d18fd03d8e7",746601189.397864
"9ff06409b37e5b5dece4604a",579203289.125705
"0508cd7bd2c77ebb6fea1e56",614499447.740785
"b45fff2e718e54772d46a3fd",670746701.834405
"cf4d2297b73dbc357d21e31b",636649879.66674
"0ada7044c5b29925abc90879",647095160.668641
"6305f02255274ab5fb6bd39c",749859335.665153
"d9a94194ae1350512beff3e6",822073146.690366
"e3896296cb80d50d9ad3f903",758584127.748351
"6514f355887c64136edb5595",913619767.506001
"f03400cc18e12903b3ffbe5a",645049568.876397
"4e134600155a64783b3f8c3e",676163466.626814
"d63ebc63c82fbf66d8b6ffd3",768574974.362618
"1bd64811bd59706844230198",756903266.16426
"a83921284639eedd4a511cb6",746438867.767533
"a2f3f7a1cd573e2a33f52e2d",751505920.511993
"47344a66471fa51f61c64652",729690219.908193
"78fd849c9429091347d7e5c9",737265727.877018
"c3daf2abea55af99c9579319",636549099.642153
"52864916eb1984abca41ec66",894906946.912148
"c62494a9d7aede44f2f84023",854630077.610957
"a2b576643f7a032371587e5e",1091059705.67802
"e53bc68f0e97ccead24f3e56",410844343.967422
"fd82c710aad91bc90af490fe",573514368.677834
"d436abc2ee37ba3dd561e940",674896899.443521
"216a598114a403676011cb51",588473677.255798
