"property_id","price"
"d56159653f5d2abc5ed5acd7",680293888
"45550aa81c0151f1fd9fd8fe",780148544
"735deef3382aa15930482f3e",612842944
"0dd49fa8bb7be52b851c6dc9",839149312
"7d3220a91e78f8bc2924d1cd",789603392
"d3054072b2175deec2c1f8dc",471198592
"b7574b06d593fca4eac59815",468022496
"79e822115c5c1a4531366001",429800000
"d3ed5316a463d38c1bd321d0",905851264
"2f1880c9b8f7ac2715e1236d",825540224
"dcca1c7f109175760ff531c6",725561088
"dfc4f3facf91bbd93ee0fa4d",473302976
"30e134a6cbe61d7954d0f56b",427428608
"385fee7bd9ad7722d45dd034",355100736
"87199c236bf22903d1aafdd0",359126016
"19e19ad0cd6b5e84d8aa970e",435316640
"907f968e78d748fde69dd44f",691797632
"be094e5db0f784e3aa013aae",457661248
"7ab96f83915bc84f8c03c1bd",433493568
"07f4aa9b9ff5b0b05d31e6c0",757653312
"e9be8cd37abed8ab510ba1f5",779508544
"5f6ad58df27b562db077b5ce",704138560
"ee96d947484aaace40f9b77f",767022848
"15c4aef8401208054697b81e",830008000
"22d6cb11333f2839b8112b89",949199488
"288c09c33907dadbae495c11",945059072
"f71d2bca0c5fe2720a1544c4",449190176
"451744cf3ce55a98db8a3562",460714848
"fba9ae05a6a8a9e0c6268a9f",426605696
"1338e58f7dcebf5a1ea59388",428359936
"a817e8da0ada143ac87277ee",447005952
"46d8bb3e9a0ca584d3c7a317",594852672
"b2506aa9463aebf01e1e00ca",499778592
"7ec025b9b6e6f33bf65af41b",446491232
"2ff531e27672ecd2362eed55",717755200
"9b3cf0d1b91b9c6a2a887647",528327648
"7db5291ce4602d9b2b266872",504583584
"65d5918e826c33bb950fc008",556283776
"395c34e4b8f52cbdb0522459",561682624
"855f4b67d2bd6d18fd03d8e7",609185472
"9ff06409b37e5b5dece4604a",559901952
"0508cd7bd2c77ebb6fea1e56",553844544
"b45fff2e718e54772d46a3fd",705892992
"cf4d2297b73dbc357d21e31b",574697792
"0ada7044c5b29925abc90879",590943232
"6305f02255274ab5fb6bd39c",684787712
"d9a94194ae1350512beff3e6",703425984
"e3896296cb80d50d9ad3f903",672926912
"6514f355887c64136edb5595",839124416
"f03400cc18e12903b3ffbe5a",803793152
"4e134600155a64783b3f8c3e",715087616
"d63ebc63c82fbf66d8b6ffd3",731012608
"1bd64811bd59706844230198",676314368
"a83921284639eedd4a511cb6",732566016
"a2f3f7a1cd573e2a33f52e2d",803707456
"47344a66471fa51f61c64652",767071616
"78fd849c9429091347d7e5c9",741374976
"c3daf2abea55af99c9579319",704585408
"52864916eb1984abca41ec66",835400704
"c62494a9d7aede44f2f84023",787421120
"a2b576643f7a032371587e5e",982038784
"e53bc68f0e97ccead24f3e56",510205408
"fd82c710aad91bc90af490fe",617844928
"d436abc2ee37ba3dd561e940",697275456
"216a598114a403676011cb51",589864448
"ea230d5eccd2b687888173bb",727861568
"18bd0dd7580f2a7cb19a90b9",331867584
"b143c8ca6d334f6a73c3f2a0",432509440
"ab388cb4fa511968783bafee",495192736
"6a4f08cd04d558a56af732d9",442943104
"7216c895aa047c4f405c4941",589659968
"a493488dcd906dc74cf8a604",683834944
"7844b0b2bc65dced90a355c6",632910848
"c1976383069b6b82ab29d092",461327360
"e5cfd99e2308b7b73581dbdc",557882048
"c18c2ea88f4ac53970b53d2c",499879200
"842c9f0e4edf1e5a672ce15e",744231232
"7dd1e46dcbddc6bf5ef694de",440124608
"6cc4f32b39180bd1ec7e117b",782838016
"79e643789a85dc4ffad49a25",897371904
"b3402a9173d289d6db78e09d",770565056
"a446507813234e358db8b573",522408032
"c8ef57ddfb35061d1876f94e",693201344
"360be0df2c003005e3db080e",917605632
"9ab245a4c91877cb7a8661ce",1127078528
"a57a34c7486e7a40e8deb316",653462976
"ceba7d0f56f6cb03538962fb",665388416
"d5475993f9db58c3e4baf7a3",819098944
